"TIPO",PARTIDA,CAPITULO,PROGRAMA,SUBTITULO,ITEM,ASIGNACION,"DESC_PARTIDA","DESC_CAPITULO","DESC_PROGRAMA","DESC_SUBTITULO","DESC_ITEM","DESC_ASIGNACION",MONTO_PESOS,MONTO_DOLAR
"INGRESOS",1,1,1,8,1,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,118038,0
"INGRESOS",1,1,1,9,1,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","APORTE FISCAL","Libre",,16815182,0
"INGRESOS",1,1,1,10,3,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","VENTA DE ACTIVOS NO FINANCIEROS","Vehículos",,38934,0
"INGRESOS",1,1,1,15,,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","SALDO INICIAL DE CAJA",,,1000,0
"GASTOS",1,1,1,21,,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","GASTOS EN PERSONAL",,,5562997,0
"GASTOS",1,1,1,22,,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","BIENES Y SERVICIOS DE CONSUMO",,,7276514,0
"GASTOS",1,1,1,24,3,701,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Apoyo Actividades Presidenciales",3361228,0
"GASTOS",1,1,1,29,3,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Vehículos",,170634,0
"GASTOS",1,1,1,29,4,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Mobiliario y Otros",,29388,0
"GASTOS",1,1,1,29,5,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Máquinas y Equipos",,125248,0
"GASTOS",1,1,1,29,6,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Equipos Informáticos",,41870,0
"GASTOS",1,1,1,29,7,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Programas Informáticos",,142655,0
"GASTOS",1,1,1,31,2,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","INICIATIVAS DE INVERSIÓN","Proyectos",,261620,0
"GASTOS",1,1,1,35,,,"PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA","PRESIDENCIA DE LA REPÚBLICA  (01)","SALDO FINAL DE CAJA",,,1000,0
"INGRESOS",2,1,1,8,1,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,137916,0
"INGRESOS",2,1,1,8,99,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","OTROS INGRESOS CORRIENTES","Otros",,37132,0
"INGRESOS",2,1,1,9,1,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","APORTE FISCAL","Libre",,38573354,0
"GASTOS",2,1,1,21,,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","GASTOS EN PERSONAL",,,18606490,0
"GASTOS",2,1,1,22,,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","BIENES Y SERVICIOS DE CONSUMO",,,6834316,0
